epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.85607,4.43875,9.59869,1.91118,0,0,0,0,3.17824,4.50937,1.27741,0.0673359,0.000164141,0.000164141
2,16.2817,3.79903,3.84059,1.3977,0,0,0,0,3.25948,5.29183,1.33497,0.0341583,0.000319891,0.000319891
3,24.5449,3.37455,3.0881,1.31903,0.17515,0.2324,0.10864,0.03132,2.97569,2.70521,1.2744,0.000969692,0.000464641,0.000464641
4,31.7675,2.95816,2.52767,1.23591,0.30675,0.38199,0.24758,0.0812,2.72797,2.42516,1.18707,0.0004505,0.0004505,0.0004505
5,38.8461,2.83233,2.29444,1.17834,0.31256,0.43582,0.28679,0.08178,2.78008,1.97029,1.21168,0.000434,0.000434,0.000434
6,48.4102,2.65337,2.13046,1.14231,0.3996,0.43271,0.3834,0.14943,2.39584,1.78793,1.10013,0.0004175,0.0004175,0.0004175
7,56.1242,2.58802,2.04681,1.1238,0.3524,0.52019,0.41668,0.15958,2.32227,1.71291,1.08625,0.000401,0.000401,0.000401
8,63.7163,2.49374,1.94964,1.11254,0.34804,0.5,0.38805,0.12989,2.50133,1.72272,1.11149,0.0003845,0.0003845,0.0003845
9,71.0298,2.47527,1.91056,1.08111,0.43524,0.56659,0.45948,0.15033,2.38938,1.62175,1.08778,0.000368,0.000368,0.000368
10,78.6597,2.42374,1.80085,1.0778,0.51954,0.60659,0.51404,0.20348,2.21192,1.56566,1.04937,0.0003515,0.0003515,0.0003515
11,85.8741,2.43827,1.78248,1.08226,0.53004,0.55572,0.50759,0.19548,2.23818,1.50149,1.0395,0.000335,0.000335,0.000335
12,93.1542,2.33692,1.70463,1.06518,0.60316,0.59906,0.60122,0.21532,2.20532,1.48894,1.04127,0.0003185,0.0003185,0.0003185
13,100.76,2.32718,1.66517,1.05862,0.59237,0.53986,0.54391,0.17598,2.44936,1.48241,1.07173,0.000302,0.000302,0.000302
14,108.094,2.32351,1.65336,1.04434,0.65287,0.60145,0.62956,0.24659,2.12401,1.39535,1.02565,0.0002855,0.0002855,0.0002855
15,115.948,2.28263,1.59256,1.03491,0.702,0.61077,0.6354,0.2507,2.1602,1.32173,1.0198,0.000269,0.000269,0.000269
16,123.957,2.2762,1.57824,1.03042,0.64119,0.61061,0.6435,0.24315,2.14639,1.37065,1.0125,0.0002525,0.0002525,0.0002525
17,131.701,2.27089,1.53419,1.03593,0.7232,0.60736,0.66684,0.22945,2.23779,1.31801,1.0411,0.000236,0.000236,0.000236
18,139.317,2.24454,1.54441,1.03391,0.7303,0.63561,0.68395,0.27936,2.11408,1.2523,1.00186,0.0002195,0.0002195,0.0002195
19,146.695,2.23102,1.51076,1.02329,0.77887,0.64651,0.7373,0.29378,2.03253,1.23087,1.00004,0.000203,0.000203,0.000203
20,154.634,2.20777,1.46862,1.02467,0.75543,0.64379,0.71582,0.28643,2.0275,1.19781,0.99087,0.0001865,0.0001865,0.0001865
21,163.599,2.19566,1.51186,1.06246,0.71893,0.62791,0.67639,0.28396,2.13802,1.22961,1.00271,0.00017,0.00017,0.00017
22,171.639,2.10783,1.43654,1.04588,0.80288,0.62215,0.70292,0.30402,2.0324,1.19783,0.98806,0.0001535,0.0001535,0.0001535
23,179.419,2.10202,1.39436,1.0407,0.77539,0.6793,0.72558,0.31284,1.99672,1.16523,0.98143,0.000137,0.000137,0.000137
24,224.368,2.10396,1.39602,1.02692,0.76101,0.66822,0.71908,0.29959,2.0876,1.15711,0.99392,0.0001205,0.0001205,0.0001205
25,231.879,2.08816,1.3673,1.02778,0.7971,0.66896,0.75917,0.33467,1.9832,1.13287,0.97837,0.000104,0.000104,0.000104
26,202.695,2.10061,1.34816,1.02759,0.78029,0.68271,0.74445,0.31456,2.02069,1.13329,0.98005,8.75e-05,8.75e-05,8.75e-05
27,210.577,2.06359,1.31981,1.03084,0.81494,0.67616,0.7594,0.32525,1.98471,1.12888,0.97864,7.1e-05,7.1e-05,7.1e-05
28,218.48,2.06152,1.33236,1.01519,0.8158,0.65737,0.76249,0.32678,1.97389,1.10772,0.97585,5.45e-05,5.45e-05,5.45e-05
29,226.015,2.05115,1.29764,1.02235,0.80896,0.67805,0.76909,0.33067,1.96811,1.10848,0.97272,3.8e-05,3.8e-05,3.8e-05
30,233.704,2.03568,1.28965,1.02334,0.79433,0.70234,0.77096,0.33421,1.97287,1.10466,0.97217,2.15e-05,2.15e-05,2.15e-05
