epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.34937,4.48451,9.6816,1.93505,0,0,0,0,3.24021,4.23561,1.30846,0.067175,3.28283e-06,3.28283e-06
2,16.2624,3.92437,4.39618,1.41683,0,0,0,0,3.23306,3.91035,1.26026,0.0338448,6.39783e-06,6.39783e-06
3,23.8285,3.91391,4.30235,1.41471,0,0,0,0,3.24679,3.78819,1.26823,0.000514343,9.29283e-06,9.29283e-06
4,31.4771,3.85246,4.24698,1.40442,0.00172,0.11542,0.00123,0.00031,3.35804,3.6793,1.30118,9.01e-06,9.01e-06,9.01e-06
5,38.7366,3.89347,4.2291,1.38932,0.00159,0.14337,0.00128,0.00029,3.35697,3.67154,1.30657,8.68e-06,8.68e-06,8.68e-06
6,47.6776,3.85255,4.2551,1.39569,0.00184,0.17495,0.00167,0.00037,3.36093,3.66188,1.31,8.35e-06,8.35e-06,8.35e-06
7,55.2764,3.85973,4.22628,1.40076,0.00213,0.20859,0.00179,0.00043,3.35637,3.63972,1.30847,8.02e-06,8.02e-06,8.02e-06
8,62.8117,3.86478,4.22887,1.41037,0.00232,0.22826,0.00193,0.00045,3.35789,3.63514,1.3119,7.69e-06,7.69e-06,7.69e-06
9,70.2411,3.8328,4.20482,1.37948,0.00256,0.2412,0.00214,0.00049,3.35387,3.6418,1.31417,7.36e-06,7.36e-06,7.36e-06
10,77.8429,3.84063,4.19869,1.38915,0.00246,0.2412,0.00203,0.00045,3.36862,3.63944,1.31677,7.03e-06,7.03e-06,7.03e-06
11,85.4023,3.79969,4.18757,1.38195,0.00254,0.26449,0.00225,0.0005,3.3609,3.62911,1.31461,6.7e-06,6.7e-06,6.7e-06
12,93.4824,3.85626,4.15679,1.40395,0.0026,0.25414,0.00238,0.00055,3.37368,3.63131,1.31904,6.37e-06,6.37e-06,6.37e-06
13,137.992,3.83793,4.1187,1.3983,0.00255,0.25207,0.00239,0.00051,3.3761,3.61643,1.3187,6.04e-06,6.04e-06,6.04e-06
14,109.262,3.81655,4.15119,1.37822,0.00264,0.28934,0.0026,0.00056,3.39012,3.60492,1.32205,5.71e-06,5.71e-06,5.71e-06
15,116.856,3.83164,4.13493,1.37694,0.00274,0.30642,0.003,0.00066,3.39397,3.59388,1.32365,5.38e-06,5.38e-06,5.38e-06
16,124.509,3.80222,4.10218,1.3818,0.00245,0.30383,0.00239,0.00058,3.38373,3.58082,1.32035,5.05e-06,5.05e-06,5.05e-06
17,131.672,3.79416,4.08527,1.37951,0.00289,0.31263,0.0032,0.00073,3.3991,3.59177,1.32496,4.72e-06,4.72e-06,4.72e-06
18,139.1,3.83157,4.10583,1.39242,0.003,0.3059,0.00308,0.00073,3.39721,3.60205,1.32842,4.39e-06,4.39e-06,4.39e-06
19,146.729,3.81137,4.0789,1.38838,0.00288,0.30487,0.00332,0.00075,3.40451,3.59402,1.32779,4.06e-06,4.06e-06,4.06e-06
20,154.525,3.77187,4.09582,1.38309,0.0031,0.32453,0.00314,0.00076,3.40577,3.60145,1.33083,3.73e-06,3.73e-06,3.73e-06
21,163.092,3.61542,4.36981,1.40249,0.00224,0.32712,0.00321,0.00088,3.32593,3.50629,1.29383,3.4e-06,3.4e-06,3.4e-06
22,208.164,3.69014,4.34635,1.42432,0.00245,0.30745,0.0031,0.00082,3.32273,3.48531,1.29333,3.07e-06,3.07e-06,3.07e-06
23,179.348,3.64265,4.33004,1.41022,0.00254,0.36853,0.00382,0.00092,3.30065,3.4736,1.28874,2.74e-06,2.74e-06,2.74e-06
24,187.749,3.64845,4.3284,1.39102,0.00269,0.38458,0.00491,0.00143,3.29278,3.4593,1.2877,2.41e-06,2.41e-06,2.41e-06
25,195.363,3.61436,4.32211,1.39716,0.0028,0.39389,0.00445,0.00112,3.29811,3.44851,1.28951,2.08e-06,2.08e-06,2.08e-06
26,203.039,3.6573,4.29933,1.40699,0.00288,0.40373,0.00519,0.00131,3.29816,3.446,1.29034,1.75e-06,1.75e-06,1.75e-06
27,210.667,3.61437,4.30207,1.40833,0.00291,0.40683,0.00485,0.00115,3.29391,3.44093,1.28888,1.42e-06,1.42e-06,1.42e-06
28,218.36,3.65849,4.28716,1.40122,0.00282,0.39752,0.00505,0.00131,3.27907,3.43217,1.28498,1.09e-06,1.09e-06,1.09e-06
29,225.983,3.58437,4.2891,1.39856,0.00303,0.42029,0.00537,0.00138,3.28382,3.43459,1.28833,7.6e-07,7.6e-07,7.6e-07
30,233.175,3.63883,4.2894,1.41337,0.00296,0.41356,0.00582,0.00154,3.28413,3.4364,1.28768,4.3e-07,4.3e-07,4.3e-07
